SPGRPCD,NAME,REGION,CLASS,CREATED_DATE,MODIFIED_DATE
19,Western larch,Western,Softwood,2021-09-03 23:03:29,
21,Lodgepole pine,Western,Softwood,2021-09-03 23:03:29,
22,Western redcedar,Western,Softwood,2021-09-03 23:03:29,
41,Other eastern soft hardwoods,Eastern,Hardwood,2021-09-03 23:03:29,
42,Other eastern hard hardwoods,Eastern,Hardwood,2021-09-03 23:03:29,
47,Other western hardwoods,Western,Hardwood,2021-09-03 23:03:29,
7,Eastern hemlock,Eastern,Softwood,2021-09-03 23:03:29,
12,True fir,Western,Softwood,2021-09-03 23:03:29,
13,Western hemlock,Western,Softwood,2021-09-03 23:03:29,
31,Hard maple,Eastern,Hardwood,2021-09-03 23:03:29,
33,Beech,Eastern,Hardwood,2021-09-03 23:03:29,
44,Cottonwood and aspen (West),Western,Hardwood,2021-09-03 23:03:29,2024-04-29 06:12:11
53,Tropical and subtropical palms,Tropical/Subtropical,Hardwood,2021-09-03 23:03:29,
55,Urban-specific hardwoods,All,Hardwood,2021-09-03 23:03:29,
23,Woodland softwoods,All,Softwood,2021-09-03 23:03:29,
38,Basswood,Eastern,Hardwood,2021-09-03 23:03:29,
51,Tropical and subtropical pines,Tropical/Subtropical,Softwood,2021-09-03 23:03:29,
1,Longleaf and slash pines,Eastern,Softwood,2021-09-03 23:03:29,
4,Eastern white and red pines,Eastern,Softwood,2021-09-03 23:03:29,
6,Spruce and balsam fir,Eastern,Softwood,2021-09-03 23:03:29,
9,Other eastern softwoods,Eastern,Softwood,2021-09-03 23:03:29,
11,Ponderosa and Jeffrey pines,Western,Softwood,2021-09-03 23:03:29,
15,Western white pine,Western,Softwood,2021-09-03 23:03:29,
26,Select red oaks,Eastern,Hardwood,2021-09-03 23:03:29,
37,Cottonwood and aspen (East),Eastern,Hardwood,2021-09-03 23:03:29,2024-04-29 06:12:11
39,Yellow-poplar,Eastern,Hardwood,2021-09-03 23:03:29,
40,Black walnut,Eastern,Hardwood,2021-09-03 23:03:29,
43,Eastern noncommercial hardwoods,Eastern,Hardwood,2021-09-03 23:03:29,
3,Other yellow pines,Eastern,Softwood,2021-09-03 23:03:29,
5,Jack pine,Eastern,Softwood,2021-09-03 23:03:29,
16,Redwood,Western,Softwood,2021-09-03 23:03:29,
18,Engelmann and other spruces,Western,Softwood,2021-09-03 23:03:29,
45,Red alder,Western,Hardwood,2021-09-03 23:03:29,
52,Other tropical and subtropical softwoods,Tropical/Subtropical,Softwood,2021-09-03 23:03:29,
10,Douglas-fir,Western,Softwood,2021-09-03 23:03:29,
17,Sitka spruce,Western,Softwood,2021-09-03 23:03:29,
28,Other red oaks,Eastern,Hardwood,2021-09-03 23:03:29,
35,Tupelo and blackgum,Eastern,Hardwood,2021-09-03 23:03:29,
2,Loblolly and shortleaf pines,Eastern,Softwood,2021-09-03 23:03:29,
8,Cypress,Eastern,Softwood,2021-09-03 23:03:29,
24,Other western softwoods,Western,Softwood,2021-09-03 23:03:29,
27,Other white oaks,Eastern,Hardwood,2021-09-03 23:03:29,
34,Sweetgum,Eastern,Hardwood,2021-09-03 23:03:29,
36,Ash,Eastern,Hardwood,2021-09-03 23:03:29,
46,Oak,Western,Hardwood,2021-09-03 23:03:29,
48,Woodland hardwoods,All,Hardwood,2021-09-03 23:03:29,
54,Tropical and subtropical hardwoods,Tropical/Subtropical,Hardwood,2021-09-03 23:03:29,
14,Sugar pine,Western,Softwood,2021-09-03 23:03:29,
20,Incense-cedar,Western,Softwood,2021-09-03 23:03:29,
25,Select white oaks,Eastern,Hardwood,2021-09-03 23:03:29,
29,Hickory,Eastern,Hardwood,2021-09-03 23:03:29,
30,Yellow birch,Eastern,Hardwood,2021-09-03 23:03:29,
32,Soft maple,Eastern,Hardwood,2021-09-03 23:03:29,
56,Urban-specific softwoods,All,Softwood,2021-09-03 23:03:29,
