spgrpcd,speciesGroup
1,Longleaf and slash pines
2,Lobolly and shortleaf pines
3,Other yellow pines
4,Eastern white and red pines
5,Jack pine
6,Spruce and balsam fir
7,Eastern hemlock
8,Cypress
9,Other eastern softwoods
23,Woodland softwoods
25,Select white oaks
26,Select red oaks
27,Other white oaks
28,Other red oaks
29,Hickory
30,Yellow birch
31,Hard maple
32,Soft maple
33,Beech
34,Sweetgum
35,Tupelo and blackgum
36,Ash
37,Cottonwood and aspen
38,Basswood
39,Yellow-poplar
40,Black walnut
41,Other eastern soft hardwoods
42,Other eastern hard hardwoods
43,Eastern noncommericial hardwoods
